bloc,all_speeches,access_speeches,access_share,label
Center,1958,84,4.290091930541369,4.3% | n = 84
Left,1964,115,5.855397148676171,5.9% | n = 115
Right,3428,178,5.192532088681447,5.2% | n = 178
