dimension,speeches,share,label
Geography and local services,251,44.661921708185055,251 speeches | 45%
Primary care and continuity,213,37.90035587188612,213 speeches | 38%
Waiting times and capacity,173,30.78291814946619,173 speeches | 31%
Staff shortages and recruitment,27,4.804270462633452,27 speeches | 5%
Rights and choice,18,3.202846975088968,18 speeches | 3%
Financial barriers,12,2.1352313167259784,12 speeches | 2%
